code|sentence|useful|complete|condition|payment|null|is_title|benefit_type
13342|在本主险合同保险期间内，本公司承担如下保险责任：|0|0|1|0|0|0|0
13342|等待期|0|0|0|0|0|0|0
13342|被保险人在本主险合同生效（或最后复效）之日起180日内因疾病身故的，本公司将返还您所交的本主险合同保险费的105%，本主险合同终止。|1|1|1|1|0|0|0
13342|这180日的时间称为等待期。|0|0|0|0|0|0|0
13342|被保险人因意外伤害（见释义6.4）导致身故的，无等待期。|0|0|0|0|0|0|0
13342|等待期后发生保险事故，本公司按照下列方式给付保险金：|0|0|1|0|0|0|0
13342|满期保险金|1|0|0|0|0|0|0
13342|保险期间届满时，被保险人仍然生存的，本公司按本主险合同约定的基本保险金额给付“满期保险金”，本主险合同效力终止。|1|1|1|1|0|0|0
13342|身故保险金|1|0|0|0|0|0|0
13342|被保险人身故的，本公司将按本主险合同约定的基本保险金额给付“身故保险金”，本主险合同效力终止。|1|1|1|1|0|0|0
13342|意外身故保险金|1|0|0|0|0|0|0
13342|被保险人因遭受意外伤害事故，并自事故发生之日起180日内以该事故为直接且单独的原因导致身故的，本公司按本主险合同约定的基本保险金额的2倍给付“意外身故保险金”，本主险合同效力终止，但该“意外身故保险金”的给付金额最高不超过本主险合同项下您已交纳的保险费与200万元人民币之和。|1|1|1|1|0|0|0
13342|公共交通意外身故保险金|1|0|0|0|0|0|0
13342|被保险人以乘客身份搭乘合法商业运营的公共交通工具（见释义6.5）期间因遭受意外伤害事故，并自事故发生之日起180日内（含第180日）以该事故为直接且单独的原因导致身故，本公司将按本主险合同约定的基本保险金额的3倍给付“公共交通意外身故保险金”，本主险合同效力终止，但该“公共交通意外身故保险金”的给付金额最高不超过本主险合同项下您已交纳的保险费与200万元人民币之和。|1|1|1|1|0|0|0
13342|被保险人违反承运人关于安全乘坐的规定遭受意外伤害事故的，本公司不承担给付“公共交通意外身故保险金”的责任。|1|1|1|1|0|0|0
1073|在本附加合同保险责任开始后的有效期内，本公司依照下列约定承担保险责任：|0|0|1|0|0|0|0
1073|一、重大疾病保险金给付|1|0|0|0|0|0|0
1073|1.若被保险人于本附加合同生效日起一年内或效力恢复之日起一年内，因首次发生并经确诊的疾病达到本附加合同定义的重大疾病之疾病状态，或者因疾病导致被确诊首次患本附加合同定义的重大疾病或进行本附加合同定义的重大疾病手术，本公司将按本附加合同的已交保险费给付重大疾病保险金，本附加合同终止；|1|1|1|1|0|0|0
1073|2.若被保险人于本附加合同生效日起一年后或效力恢复之日起一年后，因首次发生并经确诊的疾病达到本附加合同定义的重大疾病之疾病状态，或者因疾病导致被确诊首次患本附加合同定义的重大疾病或进行本附加合同定义的重大疾病手术，本公司将按本附加合同基本保险金额给付重大疾病保险金，本附加合同终止；|1|1|1|1|0|0|0
1073|3.若被保险人因意外伤害事故2导致首次达到本附加合同定义的重大疾病之疾病状态，或者因意外伤害事故导致被确诊首次患本附加合同定义的重大疾病或进行本附加合同定义的重大疾病手术，本公司将按本附加合同基本保险金额给付重大疾病保险金，本附加合同终止。|1|1|1|1|0|0|0
1073|二、身故保险金给付|1|0|0|0|0|0|0
1073|1.若被保险人于本附加合同生效日起一年内或效力恢复之日起一年内，因疾病导致身故，本公司将按本附加合同的已交保险费给付身故保险金，本附加合同终止；|1|1|1|1|0|0|0
1073|2.在被保险人未满18周岁3前，若被保险人因意外伤害事故，或于本附加合同生效日起一年后或效力恢复之日起一年后因疾病导致身故，本公司将按本附加合同的已交保险费给付身故保险金，本附加合同终止；|1|1|1|1|0|0|0
1073|3.在被保险人已满18周岁后，若被保险人因意外伤害事故，或于本附加合同生效日起一年后或效力恢复之日起一年后因疾病导致身故，本公司将按本附加合同基本保险金额给付身故保险金，本附加合同终止；|1|1|1|1|0|0|0
1073|本公司在承担上述各项保险责任的同时，将从给付的保险金中扣除欠交的保险费。|0|0|0|1|0|0|0
4065|在本合同保险期间内且本合同有效，我们按照下列约定承担给付相应保险金的责任：|0|0|1|0|0|0|0
4065|一、重疾生活保证金|0|0|0|0|0|0|0
4065|1.如果被保险人因意外伤害事故4或等待期后因意外伤害事故以外的原因导致首次发病5并经医院6确诊初次患上一种或多种本合同第三十一条所定义的重大疾病，我们将每年按本合同基本保险金额的20%给付重疾生活保证金，保证且仅给付5次。|1|1|1|1|0|0|0
4065|我们将在被保险人确诊后给付第一次重疾生活保证金，同时本合同终止。|0|0|0|0|0|0|0
4065|被保险人确诊后的4年为保证给付期，我们将在每个保证给付日7继续给付重疾生活保证金。|1|1|1|1|0|0|0
4065|如果被保险人于保证给付期内身故，我们将继续给付重疾生活保证金至保证给付期届满。|0|0|1|0|0|0|0
4065|2.如果被保险人经医院确诊初次患上一种或多种本合同第三十一条所定义的重大疾病，并且首次发病时间在等待期内，我们按本合同的已交保险费给付重疾生活保证金，同时本合同终止。|1|1|1|1|0|0|0
4065|二、身故保险金|1|0|0|0|0|0|0
4065|如果我们已给付重疾生活保证金，我们不承担本项责任。|0|1|1|1|0|0|0
4065|如果我们未给付重疾生活保证金，我们按下列约定承担给付身故保险金的责任，同时本合同终止。|0|0|1|0|0|0|0
4065|1.如果被保险人因意外伤害事故或等待期后因意外伤害事故以外的原因导致身故，我们按以下方式给付身故保险金：|1|0|1|0|0|0|0
4065|（1）如果被保险人投保时年龄未满18周岁且被保险人在年满18周岁后的首个保险单周年日8零时之前身故，我们按本合同的标准体9年交保险费与被保险人身故时本合同的保单年度数10或交费年期数11（以较小者为准）的乘积给付身故保险金。|1|1|1|1|0|0|0
4065|如果您选择的是趸交12的交费方式，上述标准体年交保险费根据被保险人在趸交的交费方式下对应的标准体保险费率，以被保险人身故时本合同的基本保险金额为基础计算（以投保时被保险人的年龄计算）。|0|1|1|1|0|0|0
4065|如果您选择的是分期支付的交费方式，上述标准体年交保险费根据被保险人在年交的交费方式下对应的标准体保险费率，以被保险人身故时本合同的基本保险金额为基础计算（以投保时被保险人的年龄计算）。|0|1|1|1|0|0|0
4065|（2）如果被保险人投保时年龄未满18周岁且被保险人在年满18周岁后的首个保险单周年日零时之后身故，或被保险人投保时年龄已满18周岁且在本合同保险期间内身故，我们按被保险人身故时本合同的基本保险金额给付身故保险金。|1|1|1|1|0|0|0
4065|2.如果被保险人在等待期内因意外伤害事故以外的原因导致身故，我们按本合同的已交保险费给付身故保险金。|1|1|1|1|0|0|0
4065|我们只给付保险责任中约定的重疾生活保证金和身故保险金的其中一项保险金。|0|0|0|0|0|0|0
1040|在本合同保险期间内，我们承担下列保险责任：|0|0|1|0|0|0|0
1040|轻症疾病保险金|1|0|0|0|0|0|0
1040|本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人经医院（见10.6）初次确诊（见10.7）非因意外伤害（见10.8）导致罹患本合同所定义的轻症疾病（无论一种或者多种），我们不承担给付保险金的责任，本合同继续有效。|1|1|1|1|0|0|0
1040|被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的轻症疾病，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的轻症疾病，我们将按本合同基本保险金额的30%向疾病保险金受益人给付轻症疾病保险金。|1|1|1|1|0|0|0
1040|每种轻症疾病限给付一次，给付后该种轻症疾病保险金保险责任终止。|0|0|0|1|0|0|0
1040|不同轻症疾病可以多次给付，但本合同的轻症疾病保险金累计给付以三次为限，当累计给付的轻症疾病保险金达到三次时，轻症疾病保险金保险责任终止，但本合同继续有效。|0|1|1|1|0|0|0
1040|如果被保险人因同一原因导致其罹患本合同所定义的两种或者两种以上的轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。|0|0|1|0|0|0|0
1040|本合同所定义的轻症疾病载明于本合同“9.1轻症疾病定义”。|0|0|0|1|0|0|0
1040|重大疾病保险金|1|0|0|0|0|0|0
1040|本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人经医院初次确诊非因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），我们将按您累计已交纳的本合同的保险费数额向疾病保险金受益人给付重大疾病保险金，本合同终止。|1|1|1|1|0|0|0
1040|被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），我们将按本合同的基本保险金额向疾病保险金受益人给付重大疾病保险金，本合同终止。|1|1|1|1|0|0|0
1040|本合同所定义的重大疾病载明于本合同“9.2重大疾病定义”。|0|0|0|1|0|0|0
1040|身故保险金|1|0|0|0|0|0|0
1040|本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人非因意外伤害导致身故，我们将按您累计已交纳的本合同的保险费数额向身故保险金受益人给付身故保险金，本合同终止。|1|1|1|1|0|0|0
1040|被保险人因意外伤害导致身故，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后非因意外伤害导致身故，我们将向身故保险金受益人给付身故保险金，本合同终止。|1|0|1|0|0|0|0
1040|身故保险金的数额为：|0|0|0|0|0|0|0
1040|（1）如果被保险人身故时未满18周岁（不含18周岁生日），身故保险金数额等于您累计已交纳的本合同的保险费数额；|1|1|1|1|0|0|0
1040|（2）如果被保险人身故时已满18周岁（含18周岁生日），身故保险金数额等于本合同的基本保险金额。|1|1|1|1|0|0|0
1040|高残保险金|1|0|0|0|0|0|0
1040|本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人非因意外伤害导致高残（见10.9），我们将按您累计已交纳的本合同的保险费数额向疾病保险金受益人给付高残保险金，本合同终止。|1|1|1|1|0|0|0
1040|被保险人因意外伤害导致高残，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后非因意外伤害导致高残，我们将向疾病保险金受益人给付高残保险金，本合同终止。|1|0|1|0|0|0|0
1040|高残保险金的数额为：|0|0|0|0|0|0|0
1040|（1）如果被保险人高残时未满18周岁（不含18周岁生日），高残保险金数额等于您累计已交纳的本合同的保险费数额；|1|1|1|1|0|0|0
1040|（2）如果被保险人高残时已满18周岁（含18周岁生日），高残保险金数额等于本合同的基本保险金额。|1|1|1|1|0|0|0
1040|被保险人发生本合同所定义的高残，应在治疗结束后，由双方认可的医疗机构（或者鉴定机构）进行鉴定。|0|0|1|0|0|0|0
1040|如果被保险人自意外伤害事故发生之日或者自疾病确诊之日起180日内治疗仍未结束，则按第180日的身体情况进行鉴定。|0|0|1|0|0|0|0
1040|轻症疾病豁免保险费|1|0|0|0|0|0|0
1040|被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的轻症疾病，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的轻症疾病，则自确诊日后首个本合同的保险费约定交纳日开始，直至本合同最后一次保险费约定交纳日止，我们豁免前述期间内本合同应交纳的保险费。|1|1|1|1|0|0|0
1040|我们视豁免的保险费为您已交纳的保险费，本合同继续有效。|0|0|0|1|0|0|0
1040|特别注意事项|0|0|0|0|0|0|0
1040|上述重大疾病保险金、身故保险金和高残保险金，我们在保险期间内只给付一项，在给付其中任意一项后，本合同终止。|0|0|1|0|0|0|0
1040|对于已经首先符合重大疾病保险金给付条件的，仅给付重大疾病保险金，不再给付轻症疾病保险金。|0|0|1|0|0|0|0
1040|保险费豁免开始后，我们将不接受关于本合同保险费交费方式的变更申请。|0|0|0|1|0|0|0
1026|在本附加合同有效期内，我们承担如下保险责任：|0|0|1|0|0|0|0
1026|您首次投保或非连续投保本附加合同时，在本附加合同生效之日起180天内，被保险人发生下列情形之一的：|0|0|1|0|0|0|0
1026|（一）“轻症重疾”或“重大疾病”；|0|0|0|0|0|0|0
1026|（二）因导致“轻症重疾”或“重大疾病”的相关疾病就诊，我们不承担保险责任，本附加合同效力终止，我们将无息全额退还本附加合同已交的该保险期间对应的保险费。|0|1|1|1|0|0|0
1026|这180天的时间称为等待期，被保险人因意外伤害（见9.2）发生上面两种情形之一的无等待期。|0|0|0|0|0|0|0
1026|连续投保无等待期。|0|0|0|0|0|0|0
1026|2.4.1轻症重疾保险金|1|0|0|0|0|0|0
1026|若被保险人因意外伤害或等待期后，在确诊首次患本附加合同约定的重大疾病（无论一种或多种）前，经我们认可的医院（见9.3）专科医生（见9.4）确诊首次患本附加合同约定的轻症重疾（无论一种或多种），本“轻症重疾保险金”责任终止，我们将按主合同累计已交保险费的20%给付轻症重疾保险金，本附加合同继续有效。|1|1|1|1|0|0|0
1026|本附加合同保险期间及保证续保期间内，“轻症重疾保险金”最多给付一次。|0|0|0|1|0|0|0
1026|2.4.2重大疾病保险金|1|0|0|0|0|0|0
1026|若被保险人因意外伤害或等待期后，经我们认可的医院专科医生确诊首次患本附加合同约定的重大疾病（无论一种或多种），本附加合同效力终止，我们将按主合同累计已交保险费给付重大疾病保险金。|1|1|1|1|0|0|0
1026|2.4.3本附加合同与主合同的关联|0|0|0|1|0|0|0
1026|本附加合同效力终止后，主合同继续有效。|0|0|0|1|0|0|0
16075|对于本条的身故保险金、疾病终末期阶段保险金和第二类重大疾病保险金这三项保险金，本公司仅给付一项，并以一次为限，且以最先发生者予以给付，最先发生时日以下列约定为准；|0|1|1|1|0|0|0
16075|对于本条的第一类重大疾病保险金，其给付条件按以下相应条款执行。|0|0|0|1|0|0|0
16075|一、身故保险金|1|0|0|0|0|0|0
16075|在本合同有效期内，若被保险人身故，则本公司将给付身故保险金予健在的身故保险金受益人，其金额等于被保险人身故时本合同的基本保险金额。|1|1|1|1|0|0|0
16075|本合同终止。|0|0|0|1|0|0|0
16075|二、疾病终末期阶段保险金|1|0|0|0|0|0|0
