code|sentence|label
2|友邦附加全心无忧意外住院给付医疗保险|0
2|（1）投保人向本公司申请解除本附加合同；|0
2|对不属于保险责任的，本公司自作出核定之日起三日内向被保险人发出拒绝给付保险金通知书并说明理由。|0
10|太平人寿[2014]医疗保险055号|0
10|目录|0
10|第一部分您（投保人）与我们（太平人寿保险有限公司）的合同|0
10|次住院从第4日开始给付住院津贴保险金，即住院津贴保险金=（实际住院日数7-3）×基本保险金额。|0
10|7.战争、军事冲突、暴乱或武装叛乱；|0
10|3.医院出具的被保险人医疗诊断书（包括必要的病历记录及检查报告）、出院小结及住院医疗费用的原|0
12|信诚人寿[2014]医疗保险031号|0
12|除外责任8因以下情形之一造成保险事故者，我们不承担保险责任:|0
12|的工作签证或拥有中华人民共和国境内（港、澳、台地区除外）居留证或|0
12|附录:名词释义|0
12|阿富汗、布隆迪、布韦岛、东帝汶民主共和国、厄立特里亚、刚果民主|0
12|注19特技表演指进行马术、杂技、飞车、驯兽等特殊技能的表演。|0
13|长城人寿[2014]医疗保险006号|0
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
13|附件5-2|1
21|华泰人寿[2014]定期寿险005号|0
21|华泰人寿保险股份有限公司|0
21|4.被保险人酒后驾驶（见8.4），无合法有效驾驶证驾驶（见8.5），或驾驶无有|0
21|该受益人丧失受益权。|0
21|者应当知道保险事故发生之日起计算。|0
21|7.其他需要关注的事项|0
21|8.2意外伤害事故指遭受外来的、突发的、非本意的、非由疾病引起的使身体受到伤害的客观事|0
21|8.14高危职业1.被保险人从事易燃易爆或腐蚀性气体或化学品生产工业、炸药业、采矿业、|0
25|华夏人寿[2014]定期寿险042号|0
25|华夏人寿保险股份有限公司|0
25|残保险金的责任：|0
25|3.3保险金申请一、在本合同有效期间内，若发生符合本合同约定的保险金给付情形，根据发生情|0
25|4.1保险费的交纳一、本合同的交费方式和交费期间由您和我们约定并在保险单上载明。|0
25|明确说明与如实告知|0
25|10.1保单年度从本合同生效日或保单周年日零时起至下一年度的保单周年日零时止为一个保单|0
25|10.10无合法有效驾驶证指下列情形之一：|0
26|吉祥人寿[2014]定期寿险032号|0
26|目录|0
26|第一部分您与我们订立的合同|0
26|本附加合同的基本保险金额由您和我们约定，并在保险单上载明。如果该金额发生变更，则以变更后的金|0
26|第三部分如何交纳保险费|0
26|人寿保险以外的其他保险的被保险人或者受益人，向我们请求赔偿或者给付保险金的诉讼时效期间为2年，|0
26|在本附加合同有效期内，您可以以书面形式向我们申请贷款。贷款金额不得超过本附加合同当时的现金价|0
26|主合同无效，本附加合同亦无效。|0
26|附表|0
28|中意人寿[2014]定期寿险053号|0
28|中意附加信用宝意外身故定期寿险条款|0
28|2.4责任免除因下列情形之一导致被保险人身故，我们不承担相应的保险责任：|0
28|3.2保险金给付我们在收到保险金给付申请书及合同约定的证明和资料后，将在5|0
28|7其他需要关注的事项|0
28|（3）持审验不合格的驾驶证驾驶；|0
29|英大人寿[2014]定期寿险008号|0
29|英大泰和人寿保险股份有限公司|0
29|五、被保险人酒后驾驶（见7.2）、无合法有效驾驶证驾驶（见7.3）|0
29|5.1受益人指定与您或被保险人可以指定或变更受益人，但您指定或变更受益人须征得|0
29|形复杂的，将在三十日内作出核定，但本合同另有约定的除外。我们|0
29|五、持学习驾驶证学习驾车时，无教练员随车指导，或不按指定时间、|0
30|长生人寿[2014]定期寿险018号|0
30|第一章保险合同构成及投保范围|0
30|十、被保险人进行潜水11、滑水、滑雪、滑冰、驾驶滑翔机或滑翔伞、跳伞、蹦极、攀|0
30|日载明于保险单上。|0
30|本公司在收到保险金给付申请书及有关证明和资料之日起六十日内，对给付保险金的数额不|0
30|二、在本合同有效期内，若投保人需要减少被保险人，应书面通知本公司减保，本公司自|0
30|第二十一条通讯地址变更|0
45|交银康联[2014]定期寿险013号|0
45|交银交银康联人寿保险有限公司|0
45|释义），或驾驶无有效行驶证（见主合同释义）的机动车（见主合同释义）；|0
45|（1）保险合同；|0
45|6.1效力终止除主合同或本附加合同另有约定外，本附加合同的效力在主合同撤销、中止、|0
45|（3）咀嚼、吞咽机能的丧失是指由于牙齿以外的原因引起的器质或功能障碍，|0
48|中宏附加定期寿险条款|0
48|第一部分投保人与本公司订立的合同|0
48|月无对应日期的，以该月的最后一日为保险费应缴日。|0
48|对不属于保险责任的，本公司自作出核定之日起三日内向受益人发出拒绝给付保险金通知书并|0
48|为维持生命必要的日常生活活动，全需他人扶助的（注5）|0
49|北大方正人寿[2014]定期寿险025号|0
49|第一部分您（投保人）与我们（北大方正人寿保险有限公司）的|0
49|第五条基本保险金额|0
49|保险人死亡证明书时被保险人依本附加合同所载明贷款合同约定仍未偿还的贷款本息总额，|0
49|第十条诉讼时效|0
49|（1）主合同被撤销、解除，或发生其他效力终止的情况；|0
49|一、如果您申报的被保险人年龄或性别不真实，并且其真实年龄不符合本附加合同约定的年|0
49|（3）驾驶员持审验不合格的驾驶证驾驶；|0
50|德华安顾人寿[2014]定期寿险022号|0
50|德华安顾安稳贷定期寿险条款|0
50|二、被保险人故意自伤、故意犯罪、抗拒依法采取的刑事强制措施或自|0
50|本合同身故或全残保险金的第一受益人为发放贷款的金融机构。第一受益|0
50|（1）保险合同、贷款合同、被保险人还贷收据或证明；|0
50|按照中国人民银行公布的金融机构同期人民币一年期存款基准利率的200%赔偿|0
50|订立本合同时，本公司应当向投保人明确说明本合同的内容。对于保险合|0
50|(7)咀嚼、吞咽机能永久完全丧失（注③，⑤）；|0
50|11、探险：指明知在某种特定的自然条件下有失去生命或使身体受到伤害|0
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
51|恒安标准司字[2014]244号附件：1.2|1
57|弘康人寿[2015]定期寿险001号|0
57|弘康人寿保险股份有限公司|0
57|因该意外伤害为直接原因导致身故，我们将按当时的保险金额给付意外身故保|0
57|依照《中华人民共和国继承法》的规定履行给付保险金的义务：|0
57|险金的数额不能确定的，根据已有资料可以确定的数额先予支付；我们最终确|0
57|达给您。|0
57|一予以解决：|0
57|9.9.12现金价值一般指保单所具有的价值，通常体现为解除合同时，由本公司向您退还的那部分金|0
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
60|民生附加定期寿险2015条款民生人寿保险股份有限公司|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
72|前海人寿保险股份有限公司前海孝心保防癌疾病保险|1
74|瑞泰人寿[2014]疾病保险007号|0
74|目录|0
74|瑞泰附加稳康宝癌症疾病保险合同条款|0
74|5.保险期间|0
74|因下列情形之一导致被保险人确诊本附加合同所定义的癌症的，我们不承担|0
74|不能确定的，根据已有证明和资料可以确定的数额先予支付；我们最终确定给付保险金的数|0
74|4.遗传性疾病指生殖细胞或受精卵的遗传物质（染色体和基因）发生突变或畸变所引起|0
76|农银人寿[2014]疾病保险024号|0
76|农银附加农银附加爱立方爱立方爱立方特定癌症特定癌症特定癌症疾病保险疾病保险疾病保险条款条款条款条款|0
76|2.42.42.4责任免除因下列情形之一导致被保险人发生疾病因下列情形之一导致被保险人发生疾病、、、、达到疾病状态或进行手术的达到疾病状态或进行手术的达到疾病状态或进行手术的，，，，我们不我们不|0
76|3.4保险金给付我们在收到保险金给付申请书及本附加险合同约定的证明和资料后，将在5日|0
76|如实告知|0
76|9.69.69.6争议处理本附加险合同争议解决方式由您在投保时与我们约定，从下列两种方式中选择|0
76|指原发于肝组织的恶性肿瘤，经病理学检查结果明确诊断，临床诊断属于国际|0
78|合众人寿〔2014〕 疾病保险 017 号|0
78|合众一生无忧终身防癌疾病保险条款|0
78|1.7 您解除合同的手犹豫期届满且被保险人未被确诊患本主合同定义的癌症（见释义 6.4），您可|0
78|保险金 生明确诊断患本主合同所定义的骨癌（见释义6.8） 、脑癌（见释义6.9） 和白|0
78|份额，各身故保险金受益人按照相等份额享有受益权。|0
78|对属于保险责任的，本公司在与受益人达成给付保险金的协议后 10 日内，履|0
78|其他事项|0
78|如果您选择以仲裁方式作为合同签署或履行过程中争议处理的方式，需与我|0
78|（3）具有有效的中华人民共和国主治医师或主治医师以上职称的《医师职|0
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
86|富德生命附加安康保防癌疾病保险条款|1
99|中融银发关爱疾病保险条款 |0
99|中融人寿[2014]疾病保险021号|0
99|2.2   投保条件        您和被保险人必须符合以下条件： |0
99|特定癌症额       被保险人于本合同生效日或复效日（以较迟者为准）起                         180 天内（含|0
99|4      如何申请领取保险金|0
99|4.5   诉讼时效        受益人向我们请求给付保险金的诉讼时效期间为                      2 年，自其知道或者应|0
99|的，该条款不产生效力。 |0
99|被保险人所变更的职业或工种在我们拒保范围内的，但未依上述约定通|0
99|康复、联合病房、护理、休养、或戒酒、戒毒等医疗机构。该医院必须|0
99|9.12   先天性畸        指被保险人出生时就具有的畸形、变形或染色体异常。先天性畸形、变|0
101|珠江福多多防癌疾病保险条款|0
101|珠江人寿[2015]疾病保险 011 号|0
101|（一）癌症保险金|0
101|（2） 受益人先于被保险人身故，没有其他受益人的；|0
101|3.5 宣告死亡处理 如果被保险人在本合同有效期内下落不明，后经人民法院宣告死亡的，本公司|0
101|其他需要关注的事项|0
101|（1） 因履行本合同发生的争议，由当事人协商解决，协商不成的，提交______|0
